State,County,Agency,Scraper,Website,Courts Website,What Data Exists,Code,FOIA Req Needed?,NIBRS?,2019 Population,Percent completion
Georgia,Upson County,,,,,,,,,"26,320",
Georgia,Walker County,,,,,,,,,"69,761",
Georgia,Walton County,,,,,,,,,"94,593",
Georgia,Ware County,,,,,,,,,"35,734",
Georgia,Warren County,,,,,,,,,"5,254",
Georgia,Washington County,,,,,,,,,"20,374",
Georgia,Wayne County,,,,,,,,,"29,927",
Georgia,Webster County,,,,,,,,,"2,607",
Georgia,Wheeler County,,,,,,,,,"7,855",
Georgia,White County,,,,,,,,,"30,798",
Georgia,Whitfield County,,,,,,,,,"104,628",
Georgia,Wilcox County,,,,,,,,,"8,635",
Georgia,Wilkes County,,,,,,,,,"9,777",
Georgia,Wilkinson County,,,,,,,,,"8,954",
Georgia,Worth County,,,,,,,,,"20,247",
Hawaii,Hawaii County,,,,,,,,,"201,513",
Hawaii,Honolulu County,,,,,,,,,"974,563",
Hawaii,Kalawao County,,,,,,,,,86,
Hawaii,Kauai County,,,,,,,,,"72,293",
Hawaii,Maui County,,,,,,,,,"167,417",
Idaho,Ada County,,,,,,,,,"481,587",
Idaho,Adams County,,,,,,,,,"4,294",
Idaho,Bannock County,,,,,,,,,"87,808",
Idaho,Bear Lake County,,,,,,,,,"6,125",
Idaho,Benewah County,,,,,,,,,"9,298",
Idaho,Bingham County,,,,,,,,,"46,811",
Idaho,Blaine County,,,,,,,,,"23,021",
Idaho,Boise County,,,,,,,,,"7,831",
Idaho,Bonner County,,,,,,,,,"45,739",
Idaho,Bonneville County,,,,,,,,,"119,062",
Idaho,Boundary County,,,,,,,,,"12,245",
Idaho,Butte County,,,,,,,,,"2,597",
Idaho,Camas County,,,,,,,,,"1,106",
Idaho,Canyon County,,,,,,,,,"229,849",
Idaho,Caribou County,,,,,,,,,"7,155",
Idaho,Cassia County,,,,,,,,,"24,030",
Idaho,Clark County,,,,,,,,,845,
Idaho,Clearwater County,,,,,,,,,"8,756",
Idaho,Custer County,,,,,,,,,"4,315",
Idaho,Elmore County,,,,,,,,,"27,511",
Idaho,Franklin County,,,,,,,,,"13,876",
Idaho,Fremont County,,,,,,,,,"13,099",
Idaho,Gem County,,,,,,,,,"18,112",
Idaho,Gooding County,,,,,,,,,"15,179",
Idaho,Idaho County,,,,,,,,,"16,667",
Idaho,Jefferson County,,,,,,,,,"29,871",
Idaho,Jerome County,,,,,,,,,"24,412",
Idaho,Kootenai County,,,,,,,,,"165,697",
Idaho,Latah County,,,,,,,,,"40,108",
Idaho,Lemhi County,,,,,,,,,"8,027",
Idaho,Lewis County,,,,,,,,,"3,838",
Idaho,Lincoln County,,,,,,,,,"5,366",
Idaho,Madison County,,,,,,,,,"39,907",
Idaho,Minidoka County,,,,,,,,,"21,039",
Idaho,Nez Perce County,,,,,,,,,"40,408",
Idaho,Oneida County,,,,,,,,,"4,531",
Idaho,Owyhee County,,,,,,,,,"11,823",
Idaho,Payette County,,,,,,,,,"23,951",
Idaho,Power County,,,,,,,,,"7,681",
Idaho,Shoshone County,,,,,,,,,"12,882",
Idaho,Teton County,,,,,,,,,"12,142",
Idaho,Twin Falls County,,,,,,,,,"86,878",
Idaho,Valley County,,,,,,,,,"11,392",
Idaho,Washington County,,,,,,,,,"10,194",
Illinois,Adams County,,,,,,,,,"65,435",
Illinois,Alexander County,,,,,,,,,"5,761",
Illinois,Bond County,,,,,,,,,"16,426",
Illinois,Boone County,,,,,,,,,"53,544",
Illinois,Brown County,,,,,,,,,"6,578",
Illinois,Bureau County,,,,,,,,,"32,628",
Illinois,Calhoun County,,,,,,,,,"4,739",
Illinois,Carroll County,,,,,,,,,"14,305",
Illinois,Cass County,,,,,,,,,"12,147",
Illinois,Champaign County,,,,,,,,,"209,689",
Illinois,Christian County,,,,,,,,,"32,304",
Illinois,Clark County,,,,,,,,,"15,441",
Illinois,Clay County,,,,,,,,,"13,184",
Illinois,Clinton County,,,,,,,,,"37,562",
Illinois,Coles County,,,,,,,,,"50,621",
Illinois,Cook County,,,,,,,,,"5,150,233",
Illinois,Crawford County,,,,,,,,,"18,667",
Illinois,Cumberland County,,,,,,,,,"10,766",
Illinois,DeKalb County,,,,,,,,,"104,897",
Illinois,DeWitt County,,,,,,,,,#N/A,
Illinois,Douglas County,,,,,,,,,"19,465",
Illinois,DuPage County,,,,,,,,,"922,921",
Illinois,Edgar County,,,,,,,,,"17,161",
Illinois,Edwards County,,,,,,,,,"6,395",
Illinois,Effingham County,,,,,,,,,"34,008",
Illinois,Fayette County,,,,,,,,,"21,336",
Illinois,Ford County,,,,,,,,,"12,961",
Illinois,Franklin County,,,,,,,,,"38,469",
Illinois,Fulton County,,,,,,,,,"34,340",
Illinois,Gallatin County,,,,,,,,,"4,828",
Illinois,Greene County,,,,,,,,,"12,969",
Illinois,Grundy County,,,,,,,,,"51,054",
Illinois,Hamilton County,,,,,,,,,"8,116",
Illinois,Hancock County,,,,,,,,,"17,708",
Illinois,Hardin County,,,,,,,,,"3,821",
Illinois,Henderson County,,,,,,,,,"6,646",
Illinois,Henry County,,,,,,,,,"48,913",
Illinois,Iroquois County,,,,,,,,,"27,114",
Illinois,Jackson County,,,,,,,,,"56,750",
Illinois,Jasper County,,,,,,,,,"9,610",
Illinois,Jefferson County,,,,,,,,,"37,684",
Illinois,Jersey County,,,,,,,,,"21,773",
Illinois,Jo Daviess County,,,,,,,,,"21,235",
Illinois,Johnson County,,,,,,,,,"12,417",
Illinois,Kane County,,,,,,,,,"532,403",
Illinois,Kankakee County,,,,,,,,,"109,862",
Illinois,Kendall County,,,,,,,,,"128,990",
Illinois,Knox County,,,,,,,,,"49,699",
Illinois,Lake County,,,,,,,,,"696,535",
Illinois,LaSalle County,,,,,,,,,"108,669",
Illinois,Lawrence County,,,,,,,,,"15,678",
Illinois,Lee County,,,,,,,,,"34,096",
Illinois,Livingston County,,,,,,,,,"35,648",
Illinois,Logan County,,,,,,,,,"28,618",
Illinois,Macon County,,,,,,,,,"104,009",
Illinois,Macoupin County,,,,,,,,,"44,926",
Illinois,Madison County,,,,,,,,,"262,966",
Illinois,Marion County,,,,,,,,,"37,205",
Illinois,Marshall County,,,,,,,,,"11,438",
Illinois,Mason County,,,,,,,,,"13,359",
Illinois,Massac County,,,,,,,,,"13,772",
Illinois,McDonough County,,,,,,,,,"29,682",
Illinois,McHenry County,,,,,,,,,"307,774",
Illinois,McLean County,,,,,,,,,"171,517",
Illinois,Menard County,,,,,,,,,"12,196",
Illinois,Mercer County,,,,,,,,,"15,437",
Illinois,Monroe County,,,,,,,,,"34,637",
Illinois,Montgomery County,,,,,,,,,"28,414",
Illinois,Morgan County,,,,,,,,,"33,658",
Illinois,Moultrie County,,,,,,,,,"14,501",
Illinois,Ogle County,,,,,,,,,"50,643",
Illinois,Peoria County,,,,,,,,,"179,179",
Illinois,Perry County,,,,,,,,,"20,916",
Illinois,Piatt County,,,,,,,,,"16,344",
Illinois,Pike County,,,,,,,,,"15,561",
Illinois,Pope County,,,,,,,,,"4,177",
Illinois,Pulaski County,,,,,,,,,"5,335",
Illinois,Putnam County,,,,,,,,,"5,739",
Illinois,Randolph County,,,,,,,,,"31,782",
Illinois,Richland County,,,,,,,,,"15,513",
Illinois,Rock Island County,,,,,,,,,"141,879",
Illinois,Saline County,,,,,,,,,"23,491",
Illinois,Sangamon County,,,,,,,,,"194,672",
Illinois,Schuyler County,,,,,,,,,"6,768",
Illinois,Scott County,,,,,,,,,"4,951",
Illinois,Shelby County,,,,,,,,,"21,634",
Illinois,St. Clair County,,,,,,,,,"259,686",
Illinois,Stark County,,,,,,,,,"5,342",
Illinois,Stephenson County,,,,,,,,,"44,498",
Illinois,Tazewell County,,,,,,,,,"131,803",
Illinois,Union County,,,,,,,,,"16,653",
Illinois,Vermilion County,,,,,,,,,"75,758",
Illinois,Wabash County,,,,,,,,,"11,520",
Illinois,Warren County,,,,,,,,,"16,844",
Illinois,Washington County,,,,,,,,,"13,887",
Illinois,Wayne County,,,,,,,,,"16,215",
Illinois,White County,,,,,,,,,"13,537",
Illinois,Whiteside County,,,,,,,,,"55,175",
Illinois,Will County,,,,,,,,,"690,743",
Illinois,Williamson County,,,,,,,,,"66,597",
Illinois,Winnebago County,,,,,,,,,"282,572",
Illinois,Woodford County,,,,,,,,,"38,459",
Indiana,Adams County,,,,,,,,,"35,777",
Indiana,Allen County,,,,,,,,,"379,299",
Indiana,Bartholomew County,,,,,,,,,"83,779",
Indiana,Benton County,,,,,,,,,"8,748",
Indiana,Blackford County,,,,,,,,,"11,758",
Indiana,Boone County,,,,,,,,,"67,843",
Indiana,Brown County,,,,,,,,,"15,092",
Indiana,Carroll County,,,,,,,,,"20,257",
Indiana,Cass County,,,,,,,,,"37,689",
Indiana,Clark County,,,,,,,,,"118,302",
Indiana,Clay County,,,,,,,,,"26,225",
Indiana,Clinton County,,,,,,,,,"32,399",
Indiana,Crawford County,,,,,,,,,"10,577",
Indiana,Daviess County,,,,,,,,,"33,351",
Indiana,Dearborn County,,,,,,,,,"49,458",
Indiana,Decatur County,,,,,,,,,"26,559",
Indiana,DeKalb County,,,,,,,,,"43,475",
Indiana,Delaware County,,,,,,,,,"114,135",
Indiana,Dubois County,,,,,,,,,"42,736",
Indiana,Elkhart County,,,,,,,,,"206,341",
Indiana,Fayette County,,,,,,,,,"23,102",
Indiana,Floyd County,,,,,,,,,"78,522",
Indiana,Fountain County,,,,,,,,,"16,346",
Indiana,Franklin County,,,,,,,,,"22,758",
Indiana,Fulton County,,,,,,,,,"19,974",
Indiana,Gibson County,,,,,,,,,"33,659",
Indiana,Grant County,,,,,,,,,"65,769",
Indiana,Greene County,,,,,,,,,"31,922",
Indiana,Hamilton County,,,,,,,,,"338,011",
Indiana,Hancock County,,,,,,,,,"78,168",
Indiana,Harrison County,,,,,,,,,"40,515",
Indiana,Hendricks County,,,,,,,,,"170,311",
Indiana,Henry County,,,,,,,,,"47,972",
Indiana,Howard County,,,,,,,,,"82,544",
Indiana,Huntington County,,,,,,,,,"36,520",
Indiana,Jackson County,,,,,,,,,"44,231",
Indiana,Jasper County,,,,,,,,,"33,562",
Indiana,Jay County,,,,,,,,,"20,436",
Indiana,Jefferson County,,,,,,,,,"32,308",
Indiana,Jennings County,,,,,,,,,"27,735",
Indiana,Johnson County,,,,,,,,,"158,167",
Indiana,Knox County,,,,,,,,,"36,594",
Indiana,Kosciusko County,,,,,,,,,"79,456",
Indiana,LaGrange County,,,,,,,,,"39,614",
Indiana,Lake County,,,,,,,,,"485,493",
Indiana,LaPorte County,,,,,,,,,"109,888",
Indiana,Lawrence County,,,,,,,,,"45,370",
Indiana,Madison County,,,,,,,,,"129,569",
Indiana,Marion County,Indianapolis Metropolitan Police Department,,https://www.indy.gov/agency/indianapolis-metropolitan-police-department,https://www.in.gov/judiciary/,complaints,,,,"964,582",
Indiana,Marshall County,,,,,,,,,"46,258",
Indiana,Martin County,,,,,,,,,"10,255",
Indiana,Miami County,,,,,,,,,"35,516",
Indiana,Monroe County,,,,,,,,,"148,431",
Indiana,Montgomery County,,,,,,,,,"38,338",
Indiana,Morgan County,,,,,,,,,"70,489",
Indiana,Newton County,,,,,,,,,"13,984",
Indiana,Noble County,,,,,,,,,"47,744",
Indiana,Ohio County,,,,,,,,,"5,875",
Indiana,Orange County,,,,,,,,,"19,646",
Indiana,Owen County,,,,,,,,,"20,799",
Indiana,Parke County,,,,,,,,,"16,937",
Indiana,Perry County,,,,,,,,,"19,169",
Indiana,Pike County,,,,,,,,,"12,389",
Indiana,Porter County,,,,,,,,,"170,389",
Indiana,Posey County,,,,,,,,,"25,427",
Indiana,Pulaski County,,,,,,,,,"12,353",
Indiana,Putnam County,,,,,,,,,"37,576",
Indiana,Randolph County,,,,,,,,,"24,665",
Indiana,Ripley County,,,,,,,,,"28,324",
Indiana,Rush County,,,,,,,,,"16,581",
Indiana,Scott County,,,,,,,,,"23,873",
Indiana,Shelby County,,,,,,,,,"44,729",
Indiana,Spencer County,,,,,,,,,"20,277",
Indiana,St. Joseph County,,,,,,,,,"271,826",
Indiana,Starke County,,,,,,,,,"22,995",
Indiana,Steuben County,,,,,,,,,"34,594",
Indiana,Sullivan County,,,,,,,,,"20,669",
Indiana,Switzerland County,,,,,,,,,"10,751",
Indiana,Tippecanoe County,,,,,,,,,"195,732",
Indiana,Tipton County,,,,,,,,,"15,148",
Indiana,Union County,,,,,,,,,"7,054",
Indiana,Vanderburgh County,,,,,,,,,"181,451",
Indiana,Vermillion County,,,,,,,,,"15,498",
Indiana,Vigo County,,,,,,,,,"107,038",
Indiana,Wabash County,,,,,,,,,"30,996",
Indiana,Warren County,,,,,,,,,"8,265",
Indiana,Warrick County,,,,,,,,,"62,998",
Indiana,Washington County,,,,,,,,,"28,036",
Indiana,Wayne County,,,,,,,,,"65,884",
Indiana,Wells County,,,,,,,,,"28,296",
Indiana,White County,,,,,,,,,"24,102",
Indiana,Whitley County,,,,,,,,,"33,964",
Iowa,Adair County,,,,,,,,,"7,152",
Iowa,Adams County,,,,,,,,,"3,602",
Iowa,Allamakee County,,,,,,,,,"13,687",
Iowa,Appanoose County,,,,,,,,,"12,426",
Iowa,Audubon County,,,,,,,,,"5,496",
Iowa,Benton County,,,,,,,,,"25,645",
Iowa,Black Hawk County,,,,,,,,,"131,228",
Iowa,Boone County,,,,,,,,,"26,234",
Iowa,Bremer County,,,,,,,,,"25,062",
Iowa,Buchanan County,,,,,,,,,"21,175",
Iowa,Buena Vista County,,,,,,,,,"19,620",
Iowa,Butler County,,,,,,,,,"14,439",
Iowa,Calhoun County,,,,,,,,,"9,668",
Iowa,Carroll County,,,,,,,,,"20,165",
Iowa,Cass County,,,,,,,,,"12,836",
Iowa,Cedar County,,,,,,,,,"18,627",
Iowa,Cerro Gordo County,,,,,,,,,"42,450",
Iowa,Cherokee County,,,,,,,,,"11,235",
Iowa,Chickasaw County,,,,,,,,,"11,933",
Iowa,Clarke County,,,,,,,,,"9,395",
Iowa,Clay County,,,,,,,,,"16,016",
Iowa,Clayton County,,,,,,,,,"17,549",
Iowa,Clinton County,,,,,,,,,"46,429",
Iowa,Crawford County,,,,,,,,,"16,820",
Iowa,Dallas County,,,,,,,,,"93,453",
Iowa,Davis County,,,,,,,,,"9,000",
Iowa,Decatur County,,,,,,,,,"7,870",
Iowa,Delaware County,,,,,,,,,"17,011",
Iowa,Des Moines County,,,,,,,,,"38,967",
Iowa,Dickinson County,,,,,,,,,"17,258",
Iowa,Dubuque County,,,,,,,,,"97,311",
Iowa,Emmet County,,,,,,,,,"9,208",
Iowa,Fayette County,,,,,,,,,"19,650",
Iowa,Floyd County,,,,,,,,,"15,642",
Iowa,Franklin County,,,,,,,,,"10,070",
Iowa,Fremont County,,,,,,,,,"6,960",
Iowa,Greene County,,,,,,,,,"8,888",
Iowa,Grundy County,,,,,,,,,"12,232",
Iowa,Guthrie County,,,,,,,,,"10,689",
Iowa,Hamilton County,,,,,,,,,"14,773",
Iowa,Hancock County,,,,,,,,,"10,630",
Iowa,Hardin County,,,,,,,,,"16,846",
Iowa,Harrison County,,,,,,,,,"14,049",
Iowa,Henry County,,,,,,,,,"19,954",
Iowa,Howard County,,,,,,,,,"9,158",
Iowa,Humboldt County,,,,,,,,,"9,558",
Iowa,Ida County,,,,,,,,,"6,860",
Iowa,Iowa County,,,,,,,,,"16,184",
Iowa,Jackson County,,,,,,,,,"19,439",
Iowa,Jasper County,,,,,,,,,"37,185",
Iowa,Jefferson County,,,,,,,,,"18,295",
Iowa,Johnson County,,,,,,,,,"151,140",
Iowa,Jones County,,,,,,,,,"20,681",
Iowa,Keokuk County,,,,,,,,,"10,246",
Iowa,Kossuth County,,,,,,,,,"14,813",
Iowa,Lee County,,,,,,,,,"33,657",
Iowa,Linn County,,,,,,,,,"226,706",
Iowa,Louisa County,,,,,,,,,"11,035",
Iowa,Lucas County,,,,,,,,,"8,600",
Iowa,Lyon County,,,,,,,,,"11,755",
Iowa,Madison County,,,,,,,,,"16,338",
Iowa,Mahaska County,,,,,,,,,"22,095",
Iowa,Marion County,,,,,,,,,"33,253",
Iowa,Marshall County,,,,,,,,,"39,369",
Iowa,Mills County,,,,,,,,,"15,109",
Iowa,Mitchell County,,,,,,,,,"10,586",
Iowa,Monona County,,,,,,,,,"8,615",
Iowa,Monroe County,,,,,,,,,"7,707",
Iowa,Montgomery County,,,,,,,,,"9,917",
Iowa,Muscatine County,,,,,,,,,"42,664",
Iowa,O'Brien County,,,,,,,,,"13,753",
Iowa,Osceola County,,,,,,,,,"5,958",
Iowa,Page County,,,,,,,,,"15,107",
Iowa,Palo Alto County,,,,,,,,,"8,886",
Iowa,Plymouth County,,,,,,,,,"25,177",
Iowa,Pocahontas County,,,,,,,,,"6,619",
Iowa,Polk County,,,,,,,,,"490,161",
Iowa,Pottawattamie County,,,,,,,,,"93,206",
Iowa,Poweshiek County,,,,,,,,,"18,504",
Iowa,Ringgold County,,,,,,,,,"4,894",
Iowa,Sac County,,,,,,,,,"9,721",
Iowa,Scott County,,,,,,,,,"172,943",
Iowa,Shelby County,,,,,,,,,"11,454",
Iowa,Sioux County,,,,,,,,,"34,855",
Iowa,Story County,,,,,,,,,"97,117",
Iowa,Tama County,,,,,,,,,"16,854",
Iowa,Taylor County,,,,,,,,,"6,121",
Iowa,Union County,,,,,,,,,"12,241",
Iowa,Van Buren County,,,,,,,,,"7,044",
Iowa,Wapello County,,,,,,,,,"34,969",
Iowa,Warren County,,,,,,,,,"51,466",
Iowa,Washington County,,,,,,,,,"21,965",
Iowa,Wayne County,,,,,,,,,"6,441",
Iowa,Webster County,,,,,,,,,"35,904",
Iowa,Winnebago County,,,,,,,,,"10,354",
Iowa,Winneshiek County,,,,,,,,,"19,991",
Iowa,Woodbury County,,,,,,,,,"103,107",
Iowa,Worth County,,,,,,,,,"7,381",
Iowa,Wright County,,,,,,,,,"12,562",
Kansas,Allen County,,,,,,,,,"12,369",
Kansas,Anderson County,,,,,,,,,"7,858",
Kansas,Atchison County,,,,,,,,,"16,073",
Kansas,Barber County,,,,,,,,,"4,427",
Kansas,Barton County,,,,,,,,,"25,779",
Kansas,Bourbon County,,,,,,,,,"14,534",
Kansas,Brown County,,,,,,,,,"9,564",
Kansas,Butler County,,,,,,,,,"66,911",
Kansas,Chase County,,,,,,,,,"2,648",
Kansas,Chautauqua County,,,,,,,,,"3,250",
Kansas,Cherokee County,,,,,,,,,"19,939",
Kansas,Cheyenne County,,,,,,,,,"2,657",
Kansas,Clark County,,,,,,,,,"1,994",
Kansas,Clay County,,,,,,,,,"8,002",
Kansas,Cloud County,,,,,,,,,"8,786",
Kansas,Coffey County,,,,,,,,,"8,179",
Kansas,Comanche County,,,,,,,,,"1,700",
Kansas,Cowley County,,,,,,,,,"34,908",
Kansas,Crawford County,,,,,,,,,"38,818",
Kansas,Decatur County,,,,,,,,,"2,827",
Kansas,Dickinson County,,,,,,,,,"18,466",
Kansas,Doniphan County,,,,,,,,,"7,600",
Kansas,Douglas County,,,,,,,,,"122,259",
Kansas,Edwards County,,,,,,,,,"2,798",
Kansas,Elk County,,,,,,,,,"2,530",
Kansas,Ellis County,,,,,,,,,"28,553",
Kansas,Ellsworth County,,,,,,,,,"6,102",
Kansas,Finney County,,,,,,,,,"36,467",
Kansas,Ford County,,,,,,,,,"33,619",
Kansas,Franklin County,,,,,,,,,"25,544",
Kansas,Geary County,,,,,,,,,"31,670",
Kansas,Gove County,,,,,,,,,"2,636",
Kansas,Graham County,,,,,,,,,"2,482",
Kansas,Grant County,,,,,,,,,"7,150",
Kansas,Gray County,,,,,,,,,"5,988",
Kansas,Greeley County,,,,,,,,,"1,232",
Kansas,Greenwood County,,,,,,,,,"5,982",
Kansas,Hamilton County,,,,,,,,,"2,539",
Kansas,Harper County,,,,,,,,,"5,436",
Kansas,Harvey County,,,,,,,,,"34,429",
Kansas,Haskell County,,,,,,,,,"3,968",
Kansas,Hodgeman County,,,,,,,,,"1,794",
Kansas,Jackson County,,,,,,,,,"13,171",
Kansas,Jefferson County,,,,,,,,,"19,043",
Kansas,Jewell County,,,,,,,,,"2,879",
Kansas,Johnson County,,,,,,,,,"602,401",
Kansas,Kearny County,,,,,,,,,"3,838",
Kansas,Kingman County,,,,,,,,,"7,152",
Kansas,Kiowa County,,,,,,,,,"2,475",
Kansas,Labette County,,,,,,,,,"19,618",
Kansas,Lane County,,,,,,,,,"1,535",
Kansas,Leavenworth County,,,,,,,,,"81,758",
Kansas,Lincoln County,,,,,,,,,"2,962",
Kansas,Linn County,,,,,,,,,"9,703",
Kansas,Logan County,,,,,,,,,"2,794",
Kansas,Lyon County,,,,,,,,,"33,195",
Kansas,Marion County,,,,,,,,,"11,884",
Kansas,Marshall County,,,,,,,,,"9,707",
Kansas,McPherson County,,,,,,,,,"28,542",
Kansas,Meade County,,,,,,,,,"4,033",
Kansas,Miami County,,,,,,,,,"34,237",
Kansas,Mitchell County,,,,,,,,,"5,979",
Kansas,Montgomery County,,,,,,,,,"31,829",
Kansas,Morris County,,,,,,,,,"5,620",
Kansas,Morton County,,,,,,,,,"2,587",
Kansas,Nemaha County,,,,,,,,,"10,231",
Kansas,Neosho County,,,,,,,,,"16,007",
Kansas,Ness County,,,,,,,,,"2,750",
Kansas,Norton County,,,,,,,,,"5,361",
Kansas,Osage County,,,,,,,,,"15,949",
Kansas,Osborne County,,,,,,,,,"3,421",
Kansas,Ottawa County,,,,,,,,,"5,704",
Kansas,Pawnee County,,,,,,,,,"6,414",
Kansas,Phillips County,,,,,,,,,"5,234",
Kansas,Pottawatomie County,,,,,,,,,"24,383",
Kansas,Pratt County,,,,,,,,,"9,164",
Kansas,Rawlins County,,,,,,,,,"2,530",
Kansas,Reno County,,,,,,,,,"61,998",
Kansas,Republic County,,,,,,,,,"4,636",
Kansas,Rice County,,,,,,,,,"9,537",
Kansas,Riley County,,,,,,,,,"74,232",
Kansas,Rooks County,,,,,,,,,"4,920",
Kansas,Rush County,,,,,,,,,"3,036",
Kansas,Russell County,,,,,,,,,"6,856",
Kansas,Saline County,,,,,,,,,"54,224",
Kansas,Scott County,,,,,,,,,"4,823",
Kansas,Sedgwick County,,,,,,,,,"516,042",
Kansas,Seward County,,,,,,,,,"21,428",
Kansas,Shawnee County,,,,,,,,,"176,875",
Kansas,Sheridan County,,,,,,,,,"2,521",
Kansas,Sherman County,,,,,,,,,"5,917",
Kansas,Smith County,,,,,,,,,"3,583",
Kansas,Stafford County,,,,,,,,,"4,156",
Kansas,Stanton County,,,,,,,,,"2,006",
Kansas,Stevens County,,,,,,,,,"5,485",
Kansas,Sumner County,,,,,,,,,"22,836",
Kansas,Thomas County,,,,,,,,,"7,777",
Kansas,Trego County,,,,,,,,,"2,803",
Kansas,Wabaunsee County,,,,,,,,,"6,931",
Kansas,Wallace County,,,,,,,,,"1,518",
Kansas,Washington County,,,,,,,,,"5,406",
Kansas,Wichita County,,,,,,,,,"2,119",
Kansas,Wilson County,,,,,,,,,"8,525",
Kansas,Woodson County,,,,,,,,,"3,138",
Kansas,Wyandotte County,,,,,,,,,"165,429",
Kentucky,Adair County,,,,,,,,,"19,202",
Kentucky,Allen County,,,,,,,,,"21,315",
Kentucky,Anderson County,,,,,,,,,"22,747",
Kentucky,Ballard County,,,,,,,,,"7,888",
Kentucky,Barren County,,,,,,,,,"44,249",
Kentucky,Bath County,,,,,,,,,"12,500",
Kentucky,Bell County,,,,,,,,,"26,032",
Kentucky,Boone County,,,,,,,,,"133,581",
Kentucky,Bourbon County,,,,,,,,,"19,788",
Kentucky,Boyd County,,,,,,,,,"46,718",
Kentucky,Boyle County,,,,,,,,,"30,060",
Kentucky,Bracken County,,,,,,,,,"8,303",
Kentucky,Breathitt County,,,,,,,,,"12,630",
Kentucky,Breckinridge County,,,,,,,,,"20,477",
Kentucky,Bullitt County,,,,,,,,,"81,676",
Kentucky,Butler County,,,,,,,,,"12,879",
Kentucky,Caldwell County,,,,,,,,,"12,747",
Kentucky,Calloway County,,,,,,,,,"39,001",
Kentucky,Campbell County,,,,,,,,,"93,584",
Kentucky,Carlisle County,,,,,,,,,"4,760",
Kentucky,Carroll County,,,,,,,,,"10,631",
Kentucky,Carter County,,,,,,,,,"26,797",
Kentucky,Casey County,,,,,,,,,"16,159",
Kentucky,Christian County,,,,,,,,,"70,461",
Kentucky,Clark County,,,,,,,,,"36,263",
Kentucky,Clay County,,,,,,,,,"19,901",
Kentucky,Clinton County,,,,,,,,,"10,218",
Kentucky,Crittenden County,,,,,,,,,"8,806",
Kentucky,Cumberland County,,,,,,,,,"6,614",
Kentucky,Daviess County,,,,,,,,,"101,511",
Kentucky,Edmonson County,,,,,,,,,"12,150",
Kentucky,Elliott County,,,,,,,,,"7,517",
Kentucky,Estill County,,,,,,,,,"14,106",
Kentucky,Fayette County,Lexington PD,,,,,,Open Records Req,,"323,152",
Kentucky,Fleming County,,,,,,,,,"14,581",
Kentucky,Floyd County,,,,,,,,,"35,589",
Kentucky,Franklin County,,,,,,,,,"50,991",
Kentucky,Fulton County,,,,,,,,,"5,969",
Kentucky,Gallatin County,,,,,,,,,"8,869",
Kentucky,Garrard County,,,,,,,,,"17,666",
Kentucky,Grant County,,,,,,,,,"25,069",
Kentucky,Graves County,,,,,,,,,"37,266",
Kentucky,Grayson County,,,,,,,,,"26,427",
Kentucky,Green County,,,,,,,,,"10,941",
Kentucky,Greenup County,,,,,,,,,"35,098",
Kentucky,Hancock County,,,,,,,,,"8,722",
Kentucky,Hardin County,,,,,,,,,"110,958",
Kentucky,Harlan County,,,,,,,,,"26,010",
Kentucky,Harrison County,,,,,,,,,"18,886",
Kentucky,Hart County,,,,,,,,,"19,035",
Kentucky,Henderson County,,,,,,,,,"45,210",
Kentucky,Henry County,,,,,,,,,"16,126",
Kentucky,Hickman County,,,,,,,,,"4,380",
Kentucky,Hopkins County,,,,,,,,,"44,686",
Kentucky,Jackson County,,,,,,,,,"13,329",
Kentucky,Jefferson County,Lousiville Municipal PD,,https://data.louisvilleky.gov/dataset/uniform-citation-data,,"Citations, stops",in progress,No,,"766,757",
Kentucky,Jessamine County,,,,,,,,,"54,115",
Kentucky,Johnson County,,,,,,,,,"22,188",
Kentucky,Kenton County,,,Kenton County Jail,,,Jail Tracker format,,,"166,998",
Kentucky,Knott County,,,,,,,,,"14,806",
Kentucky,Knox County,,,,,,,,,"31,145",
Kentucky,LaRue County,,,,,,,,,"14,398",
Kentucky,Laurel County,,,,,,,,,"60,813",
Kentucky,Lawrence County,,,,,,,,,"15,317",
Kentucky,Lee County,,,,,,,,,"7,403",
Kentucky,Leslie County,,,,,,,,,"9,877",
Kentucky,Letcher County,,,,,,,,,"21,553",
Kentucky,Lewis County,,,,,,,,,"13,275",
Kentucky,Lincoln County,,,,,,,,,"24,549",
Kentucky,Livingston County,,,,,,,,,"9,194",
Kentucky,Logan County,,,,,,,,,"27,102",
Kentucky,Lyon County,,,,,,,,,"8,210",
Kentucky,Madison County,,,,,,,,,"92,987",
Kentucky,Magoffin County,,,,,,,,,"12,161",
Kentucky,Marion County,,,,,,,,,"19,273",
Kentucky,Marshall County,,,,,,,,,"31,100",
Kentucky,Martin County,,,,,,,,,"11,195",
Kentucky,Mason County,,,,,,,,,"17,070",
Kentucky,McCracken County,,,,,,,,,"65,418",
Kentucky,McCreary County,,,,,,,,,"17,231",
Kentucky,McLean County,,,,,,,,,"9,207",
Kentucky,Meade County,,,,,,,,,"28,572",
Kentucky,Menifee County,,,,,,,,,"6,489",
Kentucky,Mercer County,,,,,,,,,"21,933",
Kentucky,Metcalfe County,,,,,,,,,"10,071",
Kentucky,Monroe County,,,,,,,,,"10,650",
Kentucky,Montgomery County,,,,,,,,,"28,157",
